X,Y,U
0.000000,0.000000,-0.000000
0.008032,0.000000,0.000000
0.016064,0.000000,0.000000
0.024096,0.000000,0.000000
0.032129,0.000000,0.000000
0.040161,0.000000,0.000000
0.048193,0.000000,0.000000
0.056225,0.000000,0.000000
0.064257,0.000000,0.000000
0.072289,0.000000,0.000000
0.080321,0.000000,0.000000
0.088353,0.000000,0.000000
0.096386,0.000000,0.000000
0.104418,0.000000,0.000000
0.112450,0.000000,0.000000
0.120482,0.000000,0.000000
0.128514,0.000000,0.000000
0.136546,0.000000,0.000000
0.144578,0.000000,0.000000
0.152610,0.000000,0.000000
0.160643,0.000000,0.000000
0.168675,0.000000,0.000000
0.176707,0.000000,0.000000
0.184739,0.000000,0.000000
0.192771,0.000000,0.000000
0.200803,0.000000,0.000000
0.208835,0.000000,0.000000
0.216867,0.000000,0.000000
0.224900,0.000000,0.000000
0.232932,0.000000,0.000000
0.240964,0.000000,0.000000
0.248996,0.000000,0.000000
0.257028,0.000000,0.000000
0.265060,0.000000,0.000000
0.273092,0.000000,0.000000
0.281124,0.000000,0.000000
0.289157,0.000000,0.000000
0.297189,0.000000,0.000000
0.305221,0.000000,0.000000
0.313253,0.000000,0.000000
0.321285,0.000000,0.000000
0.329317,0.000000,0.000000
0.337349,0.000000,0.000000
0.345382,0.000000,0.000000
0.353414,0.000000,0.000000
0.361446,0.000000,0.000000
0.369478,0.000000,0.000000
0.377510,0.000000,0.000000
0.385542,0.000000,0.000000
0.393574,0.000000,0.000000
0.401606,0.000000,0.000000
0.409639,0.000000,0.000000
0.417671,0.000000,0.000000
0.425703,0.000000,0.000000
0.433735,0.000000,0.000000
0.441767,0.000000,0.000000
0.449799,0.000000,0.000000
0.457831,0.000000,0.000000
0.465863,0.000000,0.000000
0.473896,0.000000,0.000000
0.481928,0.000000,0.000000
0.489960,0.000000,0.000000
0.497992,0.000000,0.000000
0.506024,0.000000,0.000000
0.514056,0.000000,0.000000
0.522088,0.000000,0.000000
0.530120,0.000000,0.000000
0.538153,0.000000,0.000000
0.546185,0.000000,0.000000
0.554217,0.000000,0.000000
0.562249,0.000000,0.000000
0.570281,0.000000,0.000000
0.578313,0.000000,0.000000
0.586345,0.000000,0.000000
0.594378,0.000000,0.000000
0.602410,0.000000,0.000000
0.610442,0.000000,0.000000
0.618474,0.000000,0.000000
0.626506,0.000000,0.000000
0.634538,0.000000,0.000000
0.642570,0.000000,0.000000
0.650602,0.000000,0.000000
0.658635,0.000000,0.000000
0.666667,0.000000,0.000000
0.674699,0.000000,0.000000
0.682731,0.000000,0.000000
0.690763,0.000000,0.000000
0.698795,0.000000,0.000000
0.706827,0.000000,0.000000
0.714859,0.000000,0.000000
0.722892,0.000000,0.000000
0.730924,0.000000,0.000000
0.738956,0.000000,0.000000
0.746988,0.000000,0.000000
0.755020,0.000000,0.000000
0.763052,0.000000,0.000000
0.771084,0.000000,0.000000
0.779116,0.000000,0.000000
0.787149,0.000000,0.000000
0.795181,0.000000,0.000000
0.803213,0.000000,0.000000
0.811245,0.000000,0.000000
0.819277,0.000000,0.000000
0.827309,0.000000,0.000000
0.835341,0.000000,0.000000
0.843373,0.000000,0.000000
0.851406,0.000000,0.000000
0.859438,0.000000,0.000000
0.867470,0.000000,0.000000
0.875502,0.000000,0.000000
0.883534,0.000000,0.000000
0.891566,0.000000,0.000000
0.899598,0.000000,0.000000
0.907631,0.000000,0.000000
0.915663,0.000000,0.000000
0.923695,0.000000,0.000000
0.931727,0.000000,0.000000
0.939759,0.000000,0.000000
0.947791,0.000000,0.000000
0.955823,0.000000,0.000000
0.963855,0.000000,0.000000
0.971888,0.000000,0.000000
0.979920,0.000000,0.000000
0.987952,0.000000,0.000000
0.995984,0.000000,0.000000
1.004016,0.000000,0.000000
1.012048,0.000000,0.000000
1.020080,0.000000,0.000000
1.028112,0.000000,0.000000
1.036145,0.000000,0.000000
1.044177,0.000000,0.000000
1.052209,0.000000,0.000000
1.060241,0.000000,0.000000
1.068273,0.000000,0.000000
1.076305,0.000000,0.000000
1.084337,0.000000,0.000000
1.092369,0.000000,0.000000
1.100402,0.000000,0.000000
1.108434,0.000000,0.000000
1.116466,0.000000,0.000000
1.124498,0.000000,0.000000
1.132530,0.000000,0.000000
1.140562,0.000000,0.000000
1.148594,0.000000,0.000000
1.156627,0.000000,0.000000
1.164659,0.000000,0.000000
1.172691,0.000000,0.000000
1.180723,0.000000,0.000000
1.188755,0.000000,0.000000
1.196787,0.000000,0.000000
1.204819,0.000000,0.000000
1.212851,0.000000,0.000000
1.220884,0.000000,0.000000
1.228916,0.000000,0.000000
1.236948,0.000000,0.000000
1.244980,0.000000,0.000000
1.253012,0.000000,0.000000
1.261044,0.000000,0.000000
1.269076,0.000000,0.000000
1.277108,0.000000,0.000000
1.285141,0.000000,0.000000
1.293173,0.000000,0.000000
1.301205,0.000000,0.000000
1.309237,0.000000,0.000000
1.317269,0.000000,0.000000
1.325301,0.000000,0.000000
1.333333,0.000000,0.000000
1.341365,0.000000,0.000000
1.349398,0.000000,0.000000
1.357430,0.000000,0.000000
1.365462,0.000000,0.000000
1.373494,0.000000,0.000000
1.381526,0.000000,0.000000
1.389558,0.000000,0.000000
1.397590,0.000000,0.000000
1.405622,0.000000,0.000000
1.413655,0.000000,0.000000
1.421687,0.000000,0.000000
1.429719,0.000000,0.000000
1.437751,0.000000,0.000000
1.445783,0.000000,0.000000
1.453815,0.000000,0.000000
1.461847,0.000000,0.000000
1.469880,0.000000,0.000000
1.477912,0.000000,0.000000
1.485944,0.000000,0.000000
1.493976,0.000000,0.000000
1.502008,0.000000,0.000000
1.510040,0.000000,0.000000
1.518072,0.000000,0.000000
1.526104,0.000000,0.000000
1.534137,0.000000,0.000000
1.542169,0.000000,0.000000
1.550201,0.000000,0.000000
1.558233,0.000000,0.000000
1.566265,0.000000,0.000000
1.574297,0.000000,0.000000
1.582329,0.000000,0.000000
1.590361,0.000000,0.000000
1.598394,0.000000,0.000000
1.606426,0.000000,0.000000
1.614458,0.000000,0.000000
1.622490,0.000000,0.000000
1.630522,0.000000,0.000000
1.638554,0.000000,0.000000
1.646586,0.000000,0.000000
1.654618,0.000000,0.000000
1.662651,0.000000,0.000000
1.670683,0.000000,0.000000
1.678715,0.000000,0.000000
1.686747,0.000000,0.000000
1.694779,0.000000,0.000000
1.702811,0.000000,0.000000
1.710843,0.000000,0.000000
1.718876,0.000000,0.000000
1.726908,0.000000,0.000000
1.734940,0.000000,0.000000
1.742972,0.000000,0.000000
1.751004,0.000000,0.000000
1.759036,0.000000,0.000000
1.767068,0.000000,0.000000
1.775100,0.000000,0.000000
1.783133,0.000000,0.000000
1.791165,0.000000,0.000000
1.799197,0.000000,0.000000
1.807229,0.000000,0.000000
1.815261,0.000000,0.000000
1.823293,0.000000,0.000000
1.831325,0.000000,0.000000
1.839357,0.000000,0.000000
1.847390,0.000000,0.000000
1.855422,0.000000,0.000000
1.863454,0.000000,0.000000
1.871486,0.000000,0.000000
1.879518,0.000000,0.000000
1.887550,0.000000,0.000000
1.895582,0.000000,0.000000
1.903614,0.000000,0.000000
1.911647,0.000000,0.000000
1.919679,0.000000,0.000000
1.927711,0.000000,0.000000
